batch_size,vllm_fused_moe_triton,sglang_fused_moe_triton
1.000000,0.161440,0.210144
2.000000,0.271888,0.218208
3.000000,0.319072,0.293088
4.000000,0.368304,0.328896
5.000000,0.385424,0.374592
6.000000,0.385776,0.375552
7.000000,0.386144,0.376880
8.000000,0.386752,0.377856
9.000000,0.519200,0.377952
10.000000,0.519392,0.378208
11.000000,0.519328,0.378400
12.000000,0.517936,0.377344
13.000000,0.518240,0.369216
14.000000,0.520064,0.367072
15.000000,0.519360,0.368928
16.000000,0.520016,0.366464
17.000000,0.519808,0.369056
18.000000,0.520032,0.367424
19.000000,0.520192,0.369456
20.000000,0.521600,0.368848
21.000000,0.521920,0.369312
22.000000,0.521376,0.368960
23.000000,0.521968,0.368416
24.000000,0.520384,0.369888
25.000000,0.523808,0.369888
26.000000,0.521296,0.369312
27.000000,0.523344,0.369952
28.000000,0.521984,0.370112
29.000000,0.524112,0.369552
30.000000,0.525072,0.369184
31.000000,0.524800,0.369760
32.000000,0.525072,0.369952
33.000000,0.526144,0.370368
34.000000,0.525200,0.370416
35.000000,0.525280,0.370592
36.000000,0.526240,0.370112
37.000000,0.524416,0.370304
38.000000,0.526624,0.370752
39.000000,0.526624,0.370336
40.000000,0.527120,0.370240
41.000000,0.528032,0.373248
42.000000,0.527008,0.372128
43.000000,0.529440,0.372928
44.000000,0.527568,0.372624
45.000000,0.529984,0.374336
46.000000,0.528608,0.372512
47.000000,0.530592,0.374080
48.000000,0.530640,0.372736
49.000000,0.532256,0.373472
50.000000,0.532832,0.374080
51.000000,0.532096,0.373616
52.000000,0.533248,0.373792
53.000000,0.533360,0.373728
54.000000,0.534336,0.374688
55.000000,0.533568,0.373888
56.000000,0.535456,0.375056
57.000000,0.533536,0.375296
58.000000,0.536128,0.376032
59.000000,0.536160,0.376000
60.000000,0.537408,0.376416
61.000000,0.536800,0.376096
62.000000,0.537792,0.377008
63.000000,0.537120,0.376336
64.000000,0.537824,0.376496
65.000000,0.539616,0.377696
66.000000,0.539328,0.377584
67.000000,0.539920,0.377504
68.000000,0.541152,0.377792
69.000000,0.541264,0.377616
70.000000,0.541504,0.377920
71.000000,0.541712,0.378336
72.000000,0.542816,0.377472
73.000000,0.544112,0.378544
74.000000,0.543744,0.378368
75.000000,0.544896,0.378720
76.000000,0.546896,0.378256
77.000000,0.547936,0.379264
78.000000,0.547536,0.378656
79.000000,0.547088,0.379520
80.000000,0.548448,0.379568
81.000000,0.550416,0.380000
82.000000,0.549504,0.380384
83.000000,0.549232,0.380480
84.000000,0.550160,0.380288
85.000000,0.551136,0.380480
86.000000,0.551664,0.380640
87.000000,0.552864,0.380992
88.000000,0.553616,0.380368
89.000000,0.553536,0.381136
90.000000,0.554336,0.380576
91.000000,0.553504,0.381568
92.000000,0.555296,0.380640
93.000000,0.555168,0.381552
94.000000,0.555008,0.381072
95.000000,0.555344,0.381632
96.000000,0.556352,0.380896
97.000000,0.557104,0.381760
98.000000,0.557600,0.381760
99.000000,0.558368,0.381472
100.000000,0.558624,0.381248
101.000000,0.558864,0.382592
102.000000,0.560512,0.382272
103.000000,0.558944,0.382656
104.000000,0.560256,0.382160
105.000000,0.561136,0.382944
106.000000,0.561008,0.382784
107.000000,0.561392,0.382944
108.000000,0.563008,0.382656
109.000000,0.564512,0.383120
110.000000,0.566144,0.383104
111.000000,0.564864,0.383232
112.000000,0.565824,0.383248
113.000000,0.566304,0.383616
114.000000,0.565600,0.383648
115.000000,0.566848,0.384384
116.000000,0.566240,0.383744
117.000000,0.567520,0.384032
118.000000,0.568064,0.384352
119.000000,0.567312,0.384544
120.000000,0.568416,0.384288
121.000000,0.570432,0.384848
122.000000,0.569248,0.384416
123.000000,0.569856,0.385088
124.000000,0.569680,0.384960
125.000000,0.570208,0.385376
126.000000,0.572224,0.385472
127.000000,0.571776,0.385552
128.000000,0.571936,0.385152
129.000000,0.572592,0.385856
130.000000,0.572768,0.385952
131.000000,0.573856,0.385600
132.000000,0.574256,0.385344
133.000000,0.581200,0.386784
134.000000,0.581824,0.385920
135.000000,0.582032,0.386976
